date,Alameda,Contra Costa,Fresno,Kern,Los Angeles,Orange,Riverside,Sacramento,San Bernardino,San Diego,San Joaquin,Santa Clara,Stanislaus,Tulare,Ventura
2020-04-26,1.4285714285714286,0.8571428571428571,0.14285714285714285,0.2857142857142857,47.42857142857143,2,7.428571428571429,1,3.2857142857142856,4,1.1428571428571428,2.4285714285714284,0.2857142857142857,1.7142857142857142,0.42857142857142855
2020-04-27,1.4285714285714286,0.7142857142857143,0.14285714285714285,0.14285714285714285,46.142857142857146,2.142857142857143,7.142857142857143,0.8571428571428571,2.7142857142857144,4.142857142857143,0.8571428571428571,2,0.42857142857142855,2,0.14285714285714285
2020-04-28,1.4285714285714286,0.7142857142857143,0.2857142857142857,0.42857142857142855,48.285714285714285,2.142857142857143,6.571428571428571,0.7142857142857143,2.857142857142857,4.428571428571429,0.7142857142857143,1.8571428571428572,0.8571428571428571,1.8571428571428572,0.42857142857142855
2020-04-29,1.4285714285714286,0.7142857142857143,0.5714285714285714,0.5714285714285714,47.57142857142857,2.4285714285714284,6.428571428571429,0.2857142857142857,2.5714285714285716,4.714285714285714,0.7142857142857143,1.7142857142857142,1,1.5714285714285714,0.5714285714285714
2020-04-30,1.1428571428571428,0.5714285714285714,0.5714285714285714,1,47.42857142857143,2.142857142857143,7,0.5714285714285714,2.142857142857143,4.142857142857143,0.42857142857142855,2,1.1428571428571428,1.4285714285714286,0.5714285714285714
2020-05-01,1,0.42857142857142855,0.7142857142857143,1.1428571428571428,46.857142857142854,2.857142857142857,6.857142857142857,0.8571428571428571,2.142857142857143,3.857142857142857,0.14285714285714285,2.142857142857143,1.1428571428571428,1.2857142857142858,0.5714285714285714
2020-05-02,1.2857142857142858,0.42857142857142855,0.7142857142857143,1.4285714285714286,47.714285714285715,3.5714285714285716,5.857142857142857,0.8571428571428571,3.2857142857142856,4.428571428571429,0.14285714285714285,2.4285714285714284,1.4285714285714286,1.4285714285714286,0.42857142857142855
2020-05-03,1.4285714285714286,0.14285714285714285,0.5714285714285714,1.4285714285714286,47.57142857142857,3.5714285714285716,5.285714285714286,0.8571428571428571,3.4285714285714284,5.142857142857143,0.14285714285714285,2.2857142857142856,1.2857142857142858,1.4285714285714286,0.42857142857142855
2020-05-04,1.1428571428571428,0.14285714285714285,0.5714285714285714,1.4285714285714286,48.42857142857143,3.857142857142857,6.142857142857143,0.8571428571428571,3.4285714285714284,4.857142857142857,0.14285714285714285,2.5714285714285716,1.1428571428571428,1.2857142857142858,0.42857142857142855
2020-05-05,1.1428571428571428,0.14285714285714285,0.5714285714285714,1.2857142857142858,45.714285714285715,3.7142857142857144,6,1,3.5714285714285716,5,0.2857142857142857,2.2857142857142856,0.8571428571428571,1.4285714285714286,0.14285714285714285
2020-05-06,1.1428571428571428,0.2857142857142857,0.42857142857142855,1.2857142857142858,46.857142857142854,4.142857142857143,5.714285714285714,1.4285714285714286,4,5.142857142857143,0.5714285714285714,2.2857142857142856,1,1.1428571428571428,0
2020-05-07,1.2857142857142858,0.2857142857142857,0.5714285714285714,1,46.714285714285715,4.857142857142857,5.857142857142857,1.1428571428571428,4.714285714285714,5.428571428571429,0.5714285714285714,1.8571428571428572,0.8571428571428571,1.2857142857142858,0
2020-05-08,1.4285714285714286,0.5714285714285714,0.5714285714285714,1,48.142857142857146,4.285714285714286,5.714285714285714,1,4.142857142857143,5.428571428571429,0.7142857142857143,1.7142857142857142,1,1.4285714285714286,0.14285714285714285
2020-05-09,1.2857142857142858,0.42857142857142855,0.5714285714285714,0.7142857142857143,49,4.571428571428571,5.285714285714286,1.1428571428571428,3.7142857142857144,5.571428571428571,0.5714285714285714,1.5714285714285714,0.8571428571428571,1.5714285714285714,0.14285714285714285
2020-05-10,1.1428571428571428,0.5714285714285714,0.8571428571428571,0.8571428571428571,47.714285714285715,4.428571428571429,6.285714285714286,1.1428571428571428,4.285714285714286,5.285714285714286,0.5714285714285714,1.2857142857142858,1,1.7142857142857142,0.42857142857142855
2020-05-11,1.4285714285714286,0.5714285714285714,1,0.8571428571428571,45.57142857142857,4.571428571428571,5.857142857142857,1.1428571428571428,4.571428571428571,5.428571428571429,0.5714285714285714,1,1.1428571428571428,1.8571428571428572,0.5714285714285714
2020-05-12,1.7142857142857142,0.5714285714285714,1.1428571428571428,1,47.142857142857146,4.142857142857143,6.714285714285714,1.1428571428571428,4.285714285714286,5.714285714285714,0.42857142857142855,1.1428571428571428,1.1428571428571428,1.5714285714285714,0.7142857142857143
2020-05-13,1.5714285714285714,0.42857142857142855,1.2857142857142858,1,46,3.4285714285714284,6.857142857142857,0.8571428571428571,4.285714285714286,5.571428571428571,0.14285714285714285,1,0.8571428571428571,1.8571428571428572,0.8571428571428571
2020-05-14,1.5714285714285714,0.42857142857142855,1.4285714285714286,1.1428571428571428,43.57142857142857,3.2857142857142856,7,0.8571428571428571,3.857142857142857,5.142857142857143,0.2857142857142857,1.1428571428571428,0.8571428571428571,2,0.8571428571428571
2020-05-15,1.5714285714285714,0.2857142857142857,1.5714285714285714,1.1428571428571428,43,3.5714285714285716,6.571428571428571,0.7142857142857143,3.857142857142857,5.428571428571429,0.14285714285714285,1.1428571428571428,0.7142857142857143,2,0.8571428571428571
2020-05-16,1.7142857142857142,0.5714285714285714,1.5714285714285714,1.1428571428571428,43,2.857142857142857,7.285714285714286,0.5714285714285714,3.4285714285714284,5.571428571428571,0.2857142857142857,1,0.5714285714285714,2.4285714285714284,1
2020-05-17,1.7142857142857142,0.42857142857142855,1.5714285714285714,0.8571428571428571,44.42857142857143,3.5714285714285716,6.571428571428571,0.42857142857142855,3.142857142857143,5.285714285714286,0.2857142857142857,1,0.42857142857142855,2.142857142857143,0.8571428571428571
2020-05-18,1.5714285714285714,0.42857142857142855,1.7142857142857142,1,46.857142857142854,4.285714285714286,6.714285714285714,0.42857142857142855,2.857142857142857,5.714285714285714,0.2857142857142857,0.7142857142857143,0.42857142857142855,2.2857142857142856,0.7142857142857143
2020-05-19,1.1428571428571428,0.5714285714285714,1.8571428571428572,0.8571428571428571,46.857142857142854,4.571428571428571,6.142857142857143,0.14285714285714285,3.2857142857142856,5.142857142857143,0.2857142857142857,0.5714285714285714,0.2857142857142857,2.2857142857142856,0.5714285714285714
2020-05-20,1,0.5714285714285714,1.5714285714285714,1,44.857142857142854,5.571428571428571,6.285714285714286,0,3,5.285714285714286,0.42857142857142855,0.5714285714285714,0.42857142857142855,2.142857142857143,0.5714285714285714
2020-05-21,1,0.5714285714285714,1.2857142857142858,0.8571428571428571,44.285714285714285,5.571428571428571,5.714285714285714,0,2.857142857142857,5.285714285714286,0.2857142857142857,0.5714285714285714,0.42857142857142855,2.142857142857143,0.8571428571428571
2020-05-22,0.8571428571428571,0.42857142857142855,1.4285714285714286,0.8571428571428571,44.714285714285715,5.714285714285714,6,0,3,5.571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,2,0.7142857142857143
2020-05-23,0.7142857142857143,0.14285714285714285,1.7142857142857142,1,42,6.571428571428571,5.571428571428571,0,3.7142857142857144,4.714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,1.2857142857142858,0.5714285714285714
2020-05-24,0.7142857142857143,0.14285714285714285,1.4285714285714286,1.2857142857142858,41.57142857142857,6.142857142857143,5.857142857142857,0.14285714285714285,3.7142857142857144,5,0.5714285714285714,0.2857142857142857,0.42857142857142855,1.5714285714285714,0.42857142857142855
2020-05-25,0.7142857142857143,0.14285714285714285,1.4285714285714286,1.5714285714285714,39,5.571428571428571,5.428571428571429,0.2857142857142857,3.7142857142857144,4.285714285714286,0.5714285714285714,0.42857142857142855,0.2857142857142857,1.2857142857142858,0.42857142857142855
2020-05-26,0.7142857142857143,0,1.2857142857142858,1.5714285714285714,37.857142857142854,6.714285714285714,5.428571428571429,0.2857142857142857,3.5714285714285716,4.571428571428571,0.7142857142857143,0.5714285714285714,0.42857142857142855,1.4285714285714286,0.42857142857142855
2020-05-27,0.7142857142857143,0,1.2857142857142858,1.4285714285714286,41,5.714285714285714,5.142857142857143,0.2857142857142857,4,4.428571428571429,0.5714285714285714,0.42857142857142855,0.2857142857142857,1.4285714285714286,0.5714285714285714
2020-05-28,0.7142857142857143,0.14285714285714285,1.4285714285714286,1.2857142857142858,41.42857142857143,6,5.285714285714286,0.2857142857142857,4.571428571428571,4.428571428571429,0.7142857142857143,0.5714285714285714,0.2857142857142857,1.1428571428571428,0.2857142857142857
2020-05-29,0.7142857142857143,0.42857142857142855,1.4285714285714286,1.1428571428571428,39.57142857142857,6.142857142857143,4.714285714285714,0.42857142857142855,4.285714285714286,4.142857142857143,0.5714285714285714,0.5714285714285714,0.2857142857142857,1.2857142857142858,0.2857142857142857
2020-05-30,0.8571428571428571,0.5714285714285714,1.1428571428571428,1.1428571428571428,40,5.857142857142857,4.571428571428571,0.5714285714285714,4,3.857142857142857,0.5714285714285714,0.5714285714285714,0.42857142857142855,1.4285714285714286,0.2857142857142857
2020-05-31,0.8571428571428571,0.5714285714285714,1.7142857142857142,1.2857142857142858,38.857142857142854,6.428571428571429,3.857142857142857,0.42857142857142855,3.857142857142857,3.857142857142857,0.2857142857142857,0.8571428571428571,0.42857142857142855,1.1428571428571428,0.2857142857142857
2020-06-01,1,0.5714285714285714,1.4285714285714286,1,40.57142857142857,7.428571428571429,3.5714285714285716,0.2857142857142857,3.5714285714285716,4,0.2857142857142857,0.8571428571428571,0.42857142857142855,1,0.2857142857142857
2020-06-02,1,0.7142857142857143,1.2857142857142858,1,39.285714285714285,7.285714285714286,3.142857142857143,0.2857142857142857,3.4285714285714284,3.7142857142857144,0.14285714285714285,0.8571428571428571,0.42857142857142855,1,0.2857142857142857
2020-06-03,1.1428571428571428,0.7142857142857143,1.7142857142857142,1.2857142857142858,38.142857142857146,7.571428571428571,3.5714285714285716,0.2857142857142857,3.142857142857143,3.5714285714285716,0.14285714285714285,0.8571428571428571,0.5714285714285714,0.7142857142857143,0
2020-06-04,1,0.7142857142857143,1.5714285714285714,1.2857142857142858,40.285714285714285,7.142857142857143,3.2857142857142856,0.42857142857142855,2.7142857142857144,3.5714285714285716,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.7142857142857143,0
2020-06-05,1,0.42857142857142855,1.4285714285714286,1.4285714285714286,40.857142857142854,7.142857142857143,3.4285714285714284,0.2857142857142857,2.5714285714285716,3.5714285714285716,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.42857142857142855,0
2020-06-06,0.8571428571428571,0.7142857142857143,1.4285714285714286,1.2857142857142858,40.57142857142857,6.857142857142857,3.857142857142857,0.2857142857142857,2.2857142857142856,3.857142857142857,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.42857142857142855,0
2020-06-07,0.8571428571428571,0.8571428571428571,1.1428571428571428,1,41.142857142857146,7.142857142857143,4.142857142857143,0.42857142857142855,2,3.5714285714285716,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.42857142857142855,0
2020-06-08,0.7142857142857143,1.1428571428571428,1.4285714285714286,1,40.42857142857143,7,4.571428571428571,0.5714285714285714,2.2857142857142856,3.2857142857142856,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.42857142857142855
2020-06-09,1,1.1428571428571428,1.5714285714285714,0.8571428571428571,41.57142857142857,7.142857142857143,4.857142857142857,0.5714285714285714,2.7142857142857144,3.142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.5714285714285714
2020-06-10,1.1428571428571428,1.2857142857142858,1.4285714285714286,0.5714285714285714,38.857142857142854,7.571428571428571,4.285714285714286,0.5714285714285714,2.5714285714285716,3.2857142857142856,1.1428571428571428,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.8571428571428571
2020-06-11,1.2857142857142858,1.1428571428571428,1.5714285714285714,0.7142857142857143,35.714285714285715,7.714285714285714,4.714285714285714,0.42857142857142855,2.7142857142857144,3.4285714285714284,1,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571
2020-06-12,1.2857142857142858,1.1428571428571428,1.4285714285714286,0.7142857142857143,34.57142857142857,8.142857142857142,5,0.5714285714285714,2.857142857142857,3.4285714285714284,1,1,0.7142857142857143,1.1428571428571428,0.8571428571428571
2020-06-13,1.1428571428571428,0.8571428571428571,1.7142857142857142,1,33.57142857142857,8.428571428571429,5.142857142857143,0.42857142857142855,3,3.5714285714285716,1.1428571428571428,1,0.5714285714285714,1.2857142857142858,0.8571428571428571
2020-06-14,1,0.8571428571428571,1.8571428571428572,0.8571428571428571,32.42857142857143,7.857142857142857,5.857142857142857,0.42857142857142855,3.5714285714285716,3.2857142857142856,0.8571428571428571,1,0.7142857142857143,1.4285714285714286,0.8571428571428571
2020-06-15,1.1428571428571428,0.5714285714285714,1.8571428571428572,1,31.714285714285715,7.285714285714286,5.571428571428571,0.2857142857142857,3.5714285714285716,3.142857142857143,0.7142857142857143,0.8571428571428571,0.5714285714285714,1.4285714285714286,0.42857142857142855
2020-06-16,1.1428571428571428,0.8571428571428571,1.8571428571428572,1.1428571428571428,29.428571428571427,6.571428571428571,5.714285714285714,0.2857142857142857,2.857142857142857,3,0.7142857142857143,0.8571428571428571,0.42857142857142855,1.7142857142857142,0.42857142857142855
2020-06-17,0.8571428571428571,0.8571428571428571,1.7142857142857142,1.1428571428571428,31.428571428571427,6.142857142857143,5.857142857142857,0.2857142857142857,2.857142857142857,3,0.5714285714285714,0.7142857142857143,0.42857142857142855,1.8571428571428572,0.14285714285714285
2020-06-18,1.1428571428571428,0.8571428571428571,1.5714285714285714,1.2857142857142858,32.142857142857146,6.571428571428571,5.428571428571429,0.2857142857142857,2.4285714285714284,3.142857142857143,0.8571428571428571,0.7142857142857143,0.42857142857142855,1.7142857142857142,0.14285714285714285
2020-06-19,1.1428571428571428,1.7142857142857142,1.5714285714285714,1.1428571428571428,32.57142857142857,7,5.714285714285714,0.14285714285714285,2.5714285714285716,2.857142857142857,0.8571428571428571,0.42857142857142855,0.42857142857142855,1.7142857142857142,0.5714285714285714
2020-06-20,1.4285714285714286,1.8571428571428572,1.2857142857142858,1.1428571428571428,33.714285714285715,7,5.142857142857143,0.5714285714285714,2.4285714285714284,2.5714285714285716,0.7142857142857143,0.5714285714285714,0.5714285714285714,1.7142857142857142,0.7142857142857143
